"id","id2","county","state","population estimate 2018"
"0500000US01001","1001","Autauga","Alabama","55601"
"0500000US01003","1003","Baldwin","Alabama","218022"
"0500000US01005","1005","Barbour","Alabama","24881"
"0500000US01007","1007","Bibb","Alabama","22400"
"0500000US01009","1009","Blount","Alabama","57840"
"0500000US01011","1011","Bullock","Alabama","10138"
"0500000US01013","1013","Butler","Alabama","19680"
"0500000US01015","1015","Calhoun","Alabama","114277"
"0500000US01017","1017","Chambers","Alabama","33615"
"0500000US01019","1019","Cherokee","Alabama","26032"
"0500000US01021","1021","Chilton","Alabama","44153"
"0500000US01023","1023","Choctaw","Alabama","12841"
"0500000US01025","1025","Clarke","Alabama","23920"
"0500000US01027","1027","Clay","Alabama","13275"
"0500000US01029","1029","Cleburne","Alabama","14987"
"0500000US01031","1031","Coffee","Alabama","51909"
"0500000US01033","1033","Colbert","Alabama","54762"
"0500000US01035","1035","Conecuh","Alabama","12277"
"0500000US01037","1037","Coosa","Alabama","10715"
"0500000US01039","1039","Covington","Alabama","36986"
"0500000US01041","1041","Crenshaw","Alabama","13824"
"0500000US01043","1043","Cullman","Alabama","83442"
"0500000US01045","1045","Dale","Alabama","48956"
"0500000US01047","1047","Dallas","Alabama","38310"
"0500000US01049","1049","DeKalb","Alabama","71385"
"0500000US01051","1051","Elmore","Alabama","81887"
"0500000US01053","1053","Escambia","Alabama","36748"
"0500000US01055","1055","Etowah","Alabama","102501"
"0500000US01057","1057","Fayette","Alabama","16433"
"0500000US01059","1059","Franklin","Alabama","31363"
"0500000US01061","1061","Geneva","Alabama","26314"
"0500000US01063","1063","Greene","Alabama","8233"
"0500000US01065","1065","Hale","Alabama","14726"
"0500000US01067","1067","Henry","Alabama","17209"
"0500000US01069","1069","Houston","Alabama","104722"
"0500000US01071","1071","Jackson","Alabama","51736"
"0500000US01073","1073","Jefferson","Alabama","659300"
"0500000US01075","1075","Lamar","Alabama","13844"
"0500000US01077","1077","Lauderdale","Alabama","92387"
"0500000US01079","1079","Lawrence","Alabama","32957"
"0500000US01081","1081","Lee","Alabama","163941"
"0500000US01083","1083","Limestone","Alabama","96174"
"0500000US01085","1085","Lowndes","Alabama","9974"
"0500000US01087","1087","Macon","Alabama","18439"
"0500000US01089","1089","Madison","Alabama","366519"
"0500000US01091","1091","Marengo","Alabama","19066"
"0500000US01093","1093","Marion","Alabama","29763"
"0500000US01095","1095","Marshall","Alabama","96109"
"0500000US01097","1097","Mobile","Alabama","413757"
"0500000US01099","1099","Monroe","Alabama","21067"
"0500000US01101","1101","Montgomery","Alabama","225763"
"0500000US01103","1103","Morgan","Alabama","119089"
"0500000US01105","1105","Perry","Alabama","9140"
"0500000US01107","1107","Pickens","Alabama","19938"
"0500000US01109","1109","Pike","Alabama","33338"
"0500000US01111","1111","Randolph","Alabama","22725"
"0500000US01113","1113","Russell","Alabama","57781"
"0500000US01115","1115","St. Clair","Alabama","88690"
"0500000US01117","1117","Shelby","Alabama","215707"
"0500000US01119","1119","Sumter","Alabama","12691"
"0500000US01121","1121","Talladega","Alabama","79828"
"0500000US01123","1123","Tallapoosa","Alabama","40497"
"0500000US01125","1125","Tuscaloosa","Alabama","208911"
"0500000US01127","1127","Walker","Alabama","63711"
"0500000US01129","1129","Washington","Alabama","16378"
"0500000US01131","1131","Wilcox","Alabama","10627"
"0500000US01133","1133","Winston","Alabama","23660"
"0500000US02013","2013","Aleutians East Borough","Alaska","3515"
"0500000US02016","2016","Aleutians West Census Area","Alaska","5723"
"0500000US02020","2020","Anchorage Municipality","Alaska","291538"
"0500000US02050","2050","Bethel Census Area","Alaska","18216"
"0500000US02060","2060","Bristol Bay Borough","Alaska","877"
"0500000US02068","2068","Denali Borough","Alaska","2059"
"0500000US02070","2070","Dillingham Census Area","Alaska","5000"
"0500000US02090","2090","Fairbanks North Star Borough","Alaska","98971"
"0500000US02100","2100","Haines Borough","Alaska","2474"
"0500000US02105","2105","Hoonah-Angoon Census Area","Alaska","2151"
"0500000US02110","2110","Juneau City and Borough","Alaska","32113"
"0500000US02122","2122","Kenai Peninsula Borough","Alaska","58533"
"0500000US02130","2130","Ketchikan Gateway Borough","Alaska","13918"
"0500000US02150","2150","Kodiak Island Borough","Alaska","13345"
"0500000US02158","2158","Kusilvak Census Area","Alaska","8303"
"0500000US02164","2164","Lake and Peninsula Borough","Alaska","1587"
"0500000US02170","2170","Matanuska-Susitna Borough","Alaska","107610"
"0500000US02180","2180","Nome Census Area","Alaska","10008"
"0500000US02185","2185","North Slope Borough","Alaska","9872"
"0500000US02188","2188","Northwest Arctic Borough","Alaska","7671"
"0500000US02195","2195","Petersburg Borough","Alaska","3221"
"0500000US02198","2198","Prince of Wales-Hyder Census Area","Alaska","6422"
"0500000US02220","2220","Sitka City and Borough","Alaska","8647"
"0500000US02230","2230","Skagway Municipality","Alaska","1148"
"0500000US02240","2240","Southeast Fairbanks Census Area","Alaska","6918"
"0500000US02261","2261","Valdez-Cordova Census Area","Alaska","9164"
"0500000US02275","2275","Wrangell City and Borough","Alaska","2503"
"0500000US02282","2282","Yakutat City and Borough","Alaska","604"
"0500000US02290","2290","Yukon-Koyukuk Census Area","Alaska","5327"
"0500000US04001","4001","Apache","Arizona","71818"
"0500000US04003","4003","Cochise","Arizona","126770"
"0500000US04005","4005","Coconino","Arizona","142854"
"0500000US04007","4007","Gila","Arizona","53889"
